country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m,press_freedom_index_2020,region,continent,pfi_category
Bahrain,3720,8.0,1762.0,155501.0,2186.0,5.0,91387.0,60.13,Western Asia,Asia,not_free
Afghanistan,3392,104.0,458.0,13777.0,87.0,3.0,354.0,37.7,Southern Asia,Asia,lower_average
Hungary,3111,373.0,759.0,86743.0,322.0,39.0,8979.0,30.84,Eastern Europe,Europe,average
Thailand,2989,55.0,2761.0,227860.0,43.0,0.8,3264.0,44.94,South-Eastern Asia,Asia,lower_average
Nigeria,2950,98.0,481.0,19512.0,14.0,0.5,95.0,35.63,Western Africa,Africa,lower_average
Oman,2903,13.0,888.0,40459.0,568.0,3.0,7923.0,43.42,Western Asia,Asia,lower_average
Armenia,2782,40.0,1135.0,26929.0,939.0,13.0,9088.0,28.6,Western Asia,Asia,average
Ghana,2719,18.0,294.0,129461.0,88.0,0.6,4166.0,22.26,Western Africa,Africa,upper_average
Greece,2642,146.0,1374.0,83750.0,253.0,14.0,8035.0,28.8,Southern Europe,Europe,average
Iraq,2431,102.0,1571.0,113484.0,60.0,3.0,2821.0,55.37,Western Asia,Asia,not_free
Uzbekistan,2217,10.0,1556.0,325000.0,66.0,0.3,9710.0,53.07,Central Asia,Asia,lower_average
Croatia,2112,83.0,1560.0,39973.0,514.0,20.0,9737.0,28.51,Southern Europe,Europe,average
Cameroon,2104,64.0,953.0,,79.0,2.0,,43.28,Middle Africa,Africa,lower_average
Azerbaijan,2060,26.0,1508.0,164481.0,203.0,3.0,16222.0,58.48,Western Asia,Asia,not_free
Bosnia and Herzegovina,1946,79.0,911.0,35296.0,593.0,24.0,10758.0,28.51,Southern Europe,Europe,average
Guinea,1811,10.0,498.0,,138.0,0.8,,34.34,Western Africa,Africa,average
Bolivia,1802,86.0,187.0,7651.0,154.0,7.0,655.0,35.37,South America,South America,lower_average
Iceland,1799,10.0,1733.0,51345.0,5272.0,29.0,150465.0,15.12,Northern Europe,Europe,upper_average
Bulgaria,1758,82.0,360.0,51768.0,253.0,12.0,7450.0,35.06,Eastern Europe,Europe,lower_average
Estonia,1713,55.0,264.0,58955.0,1291.0,41.0,44443.0,12.61,Northern Europe,Europe,free
Cuba,1685,69.0,954.0,57711.0,149.0,6.0,5095.0,63.81,Caribbean,North America,not_free
New Zealand,1488,21.0,1316.0,160700.0,309.0,4.0,33325.0,10.69,Australia & New Zealand,Oceania,free
Ivory Coast,1464,18.0,701.0,11448.0,56.0,0.7,434.0,28.94,Western Africa,Africa,average
Slovenia,1448,99.0,246.0,58923.0,697.0,48.0,28343.0,22.64,Southern Europe,Europe,upper_average
Slovakia,1429,25.0,762.0,104606.0,262.0,5.0,19160.0,22.67,Eastern Europe,Europe,upper_average
Lithuania,1428,48.0,718.0,156493.0,525.0,18.0,57486.0,21.19,Northern Europe,Europe,upper_average
Senegal,1329,11.0,470.0,17787.0,79.0,0.7,1062.0,23.99,Western Africa,Africa,upper_average
Honduras,1270,93.0,122.0,5653.0,128.0,9.0,571.0,48.2,Central America,North America,lower_average
Djibouti,1120,2.0,745.0,14378.0,1134.0,2.0,14553.0,76.73,Eastern Africa,Africa,not_free
Hong Kong,1041,4.0,932.0,154989.0,139.0,0.5,20674.0,30.01,Eastern Asia,Asia,average
Tunisia,1022,43.0,482.0,25165.0,86.0,4.0,2129.0,29.45,Northern Africa,Africa,average
Latvia,900,17.0,464.0,68627.0,477.0,9.0,36384.0,18.56,Northern Europe,Europe,upper_average
Cyprus,878,15.0,296.0,66975.0,727.0,12.0,55472.0,20.45,Western Asia,Asia,upper_average
Kyrgyzstan,871,12.0,614.0,59490.0,134.0,2.0,9118.0,30.19,Central Asia,Asia,average
Somalia,835,38.0,75.0,,53.0,2.0,,55.45,Eastern Africa,Africa,not_free
Albania,832,31.0,595.0,9531.0,289.0,11.0,3312.0,30.25,Southern Europe,Europe,average
DRC,797,35.0,92.0,,9.0,0.4,,49.09,Middle Africa,Africa,lower_average
Sudan,778,45.0,70.0,,18.0,1.0,,55.33,Northern Africa,Africa,not_free
Sri Lanka,771,9.0,215.0,29378.0,36.0,0.4,1372.0,41.94,Southern Asia,Asia,lower_average
Niger,763,38.0,543.0,5375.0,32.0,2.0,222.0,28.25,Western Africa,Africa,average
Guatemala,763,19.0,79.0,7200.0,43.0,1.0,402.0,35.74,Central America,North America,lower_average
Costa Rica,755,6.0,413.0,14121.0,148.0,1.0,2772.0,10.53,Central America,North America,free
Andorra,751,46.0,514.0,1673.0,9720.0,595.0,21653.0,23.23,Southern Europe,Europe,upper_average
Lebanon,750,25.0,206.0,44701.0,110.0,4.0,6549.0,33.19,Western Asia,Asia,average
Burkina Faso,688,48.0,548.0,,33.0,2.0,,23.47,Western Africa,Africa,upper_average
Uruguay,670,17.0,468.0,23811.0,193.0,5.0,6855.0,15.79,South America,South America,upper_average
El Salvador,633,14.0,219.0,33628.0,98.0,2.0,5185.0,29.7,Central America,North America,average
Mali,612,32.0,228.0,2172.0,30.0,2.0,107.0,34.12,Western Africa,Africa,average
Georgia,610,9.0,269.0,20579.0,153.0,2.0,5159.0,28.59,Western Asia,Asia,average
Maldives,573,2.0,20.0,9863.0,1060.0,4.0,18246.0,29.93,Southern Asia,Asia,average
Kenya,535,24.0,182.0,25861.0,10.0,0.4,481.0,33.72,Eastern Africa,Africa,average
Malta,482,5.0,403.0,36945.0,1092.0,11.0,83672.0,30.16,Southern Europe,Europe,average
Tanzania,480,16.0,167.0,,8.0,0.3,,40.25,Eastern Africa,Africa,lower_average
Guinea-Bissau,475,2.0,24.0,1500.0,241.0,1.0,762.0,32.06,Western Africa,Africa,average
Jamaica,473,9.0,56.0,5993.0,160.0,3.0,2024.0,10.51,Caribbean,North America,free
