country,total_cases,total_deaths,total_recovered,bri_country,region,continent,press_freedom_index_2020
Sri Lanka,771,9,215,bri_member,Southern Asia,Asian,41.94
Niger,763,38,543,bri_member,Western Africa,Afica,28.25
Guatemala,763,19,79,non_member,Central America,North America,35.74
Costa Rica,755,6,413,bri_member,Central America,North America,10.53
Andorra,751,46,514,non_member,Southern Europe,Europe,23.23
Lebanon,750,25,206,bri_member,Western Asian,Asian,33.19
Mayotte,739,9,352,non_member,Eastern Africa,Afica,
Burkina Faso,688,48,548,non_member,Western Africa,Afica,23.47
Uruguay,670,17,468,bri_member,South America,South America,15.79
El Salvador,633,14,219,bri_member,Central America,North America,2.97
Mali,612,32,228,bri_member,Western Africa,Afica,34.12
Georgia,610,9,269,bri_member,Western Asian,Asian,28.59
San Marino,589,41,92,non_member,Southern Europe,Europe,
Maldives,573,2,20,bri_member,Southern Asia,Asian,29.93
Channel Islands,545,40,406,non_member,Northern Europe,Europe,
Kenya,535,24,182,bri_member,Eastern Africa,Afica,33.72
Malta,482,5,403,bri_member,Southern Europe,Europe,30.16
Tanzania,480,16,167,bri_member,Eastern Africa,Afica,40.25
Guinea-Bissau,475,2,24,non_member,Western Africa,Afica,32.06
Jamaica,473,9,56,bri_member,Caribbean,North America,10.51
Jordan,471,9,375,non_member,Western Asian,Asian,42.08
Taiwan,439,6,339,non_member,Eastern Asia,Asian,23.76
Paraguay,431,10,135,non_member,South America,South America,32.97
Réunion,425,0,300,non_member,Eastern Africa,Afica,
Gabon,397,6,93,bri_member,Middle Africa,Afica,3.72
Palestine,371,2,127,non_member,Western Asian,Asian,44.09
Venezuela,367,10,164,bri_member,South America,South America,45.66
Mauritius,332,10,319,non_member,Eastern Africa,Afica,0.28
Isle of Man,326,23,271,non_member,Northern Europe,Europe,
Montenegro,324,8,261,bri_member,Southern Europe,Europe,33.83
Equatorial Guinea,315,3,13,bri_member,Middle Africa,Afica,56.38
Tajikistan,293,5,0,bri_member,Central Asia,Asian,55.34
Vietnam,271,0,232,bri_member,South-Eastern Asia,Asian,74.71
