country,total_cases,total_deaths,total_recovered,total_tests,cases/1m,deaths/1m,tests/1m,press_freedom_index_2020,region,continent
Slovakia,1429,25,762,104606,262,5,19160,22.67,Eastern Europe,Europe
Lithuania,1428,48,718,156493,525,18,57486,21.19,Northern Europe,Europe
Senegal,1329,11,470,17787,79,0.7,1062,23.99,Western Africa,Africa
Honduras,1270,93,122,5653,128,9,571,48.2,Central America,North America
Djibouti,1120,2,745,14378,1134,2,14553,76.73,Eastern Africa,Africa
Hong Kong,1041,4,932,154989,139,0.5,20674,30.01,Eastern Asia,Asian
Tunisia,1022,43,482,25165,86,4,2129,29.45,Northern Africa,Africa
Latvia,900,17,464,68627,477,9,36384,18.56,Northern Europe,Europe
Cyprus,878,15,296,66975,727,12,55472,20.45,Western Asian,Asian
Kyrgyzstan,871,12,614,59490,134,2,9118,30.19,Central Asia,Asian
Somalia,835,38,75,,53,2,,55.45,Eastern Africa,Africa
Albania,832,31,595,9531,289,11,3312,30.25,Southern Europe,Europe
DRC,797,35,92,,9,0.4,,49.09,Middle Africa,Africa
Sudan,778,45,70,,18,1,,55.33,Northern Africa,Africa
Sri Lanka,771,9,215,29378,36,0.4,1372,41.94,Southern Asia,Asian
Niger,763,38,543,5375,32,2,222,28.25,Western Africa,Africa
Guatemala,763,19,79,7200,43,1,402,35.74,Central America,North America
Costa Rica,755,6,413,14121,148,1,2772,10.53,Central America,North America
Andorra,751,46,514,1673,9720,595,21653,23.23,Southern Europe,Europe
Lebanon,750,25,206,44701,110,4,6549,33.19,Western Asian,Asian
Burkina Faso,688,48,548,,33,2,,23.47,Western Africa,Africa
Uruguay,670,17,468,23811,193,5,6855,15.79,South America,South America
El Salvador,633,14,219,33628,98,2,5185,29.7,Central America,North America
Mali,612,32,228,2172,30,2,107,34.12,Western Africa,Africa
Georgia,610,9,269,20579,153,2,5159,28.59,Western Asian,Asian
Maldives,573,2,20,9863,1060,4,18246,29.93,Southern Asia,Asian
Kenya,535,24,182,25861,10,0.4,481,33.72,Eastern Africa,Africa
Malta,482,5,403,36945,1092,11,83672,30.16,Southern Europe,Europe
Tanzania,480,16,167,,8,0.3,,40.25,Eastern Africa,Africa
Guinea-Bissau,475,2,24,1500,241,1,762,32.06,Western Africa,Africa
Jamaica,473,9,56,5993,160,3,2024,10.51,Caribbean,North America
Jordan,471,9,375,91666,46,0.9,8984,42.08,Western Asian,Asian
Taiwan,439,6,339,65589,18,0.3,2754,23.76,Eastern Asia,Asian
Paraguay,431,10,135,11913,60,1,1670,32.97,South America,South America
Gabon,397,6,93,724,178,3,325,37.2,Middle Africa,Africa
